date,sales
2022-07-25,489
2022-07-26,539
2022-07-27,498
2022-07-28,481
2022-07-29,512
2022-07-30,420
2022-07-31,493
2022-08-01,509
2022-08-02,441
2022-08-03,520
2022-08-04,495
2022-08-05,472
2022-08-06,503
2022-08-07,552
2022-08-08,489
2022-08-09,491
2022-08-10,469
2022-08-11,457
2022-08-12,507
2022-08-13,456
2022-08-14,484
2022-08-15,467
2022-08-16,496
2022-08-17,491
2022-08-18,512
2022-08-19,465
2022-08-20,472
2022-08-21,451
2022-08-22,467
2022-08-23,491
2022-08-24,502
2022-08-25,452
2022-08-26,505
2022-08-27,520
2022-08-28,492
2022-08-29,535
2022-08-30,456
2022-08-31,442
2022-09-01,425
2022-09-02,524
2022-09-03,498
2022-09-04,477
2022-09-05,487
2022-09-06,445
2022-09-07,552
2022-09-08,483
2022-09-09,482
2022-09-10,501
2022-09-11,493
2022-09-12,486
2022-09-13,455
2022-09-14,493
2022-09-15,536
2022-09-16,520
2022-09-17,527
2022-09-18,464
2022-09-19,450
2022-09-20,476
2022-09-21,482
2022-09-22,513
2022-09-23,430
2022-09-24,527
2022-09-25,477
2022-09-26,469
2022-09-27,452
2022-09-28,433
2022-09-29,507
2022-09-30,485
2022-10-01,445
2022-10-02,445
2022-10-03,474
2022-10-04,535
2022-10-05,477
2022-10-06,440
2022-10-07,478
2022-10-08,478
2022-10-09,406
2022-10-10,486
2022-10-11,481
2022-10-12,509
2022-10-13,544
2022-10-14,523
2022-10-15,482
2022-10-16,457
2022-10-17,568
2022-10-18,493
2022-10-19,493
2022-10-20,492
2022-10-21,499
2022-10-22,490
2022-10-23,478
2022-10-24,479
2022-10-25,495
2022-10-26,481
2022-10-27,476
2022-10-28,502
2022-10-29,492
2022-10-30,545
2022-10-31,421
2022-11-01,534
2022-11-02,540
2022-11-03,441
2022-11-04,494
2022-11-05,494
2022-11-06,464
2022-11-07,483
2022-11-08,474
2022-11-09,561
2022-11-10,537
2022-11-11,548
2022-11-12,533
2022-11-13,478
2022-11-14,497
2022-11-15,529
2022-11-16,478
2022-11-17,537
2022-11-18,510
2022-11-19,507
2022-11-20,540
2022-11-21,533
2022-11-22,510
2022-11-23,557
2022-11-24,491
2022-11-25,543
2022-11-26,543
2022-11-27,517
2022-11-28,537
2022-11-29,491
2022-11-30,557
2022-12-01,525
2022-12-02,516
2022-12-03,564
2022-12-04,513
2022-12-05,493
2022-12-06,490
2022-12-07,556
2022-12-08,500
2022-12-09,592
2022-12-10,479
2022-12-11,593
2022-12-12,550
2022-12-13,542
2022-12-14,529
2022-12-15,559
2022-12-16,547
2022-12-17,582
2022-12-18,554
2022-12-19,556
2022-12-20,542
2022-12-21,552
2022-12-22,565
2022-12-23,505
2022-12-24,517
2022-12-25,581
2022-12-26,565
2022-12-27,556
2022-12-28,563
2022-12-29,574
2022-12-30,549
2022-12-31,543
2023-01-01,574
2023-01-02,540
2023-01-03,582
2023-01-04,520
2023-01-05,604
2023-01-06,588
2023-01-07,583
2023-01-08,606
2023-01-09,628
2023-01-10,609
2023-01-11,525
2023-01-12,543
2023-01-13,564
2023-01-14,584
2023-01-15,600
2023-01-16,564
2023-01-17,593
2023-01-18,566
2023-01-19,571
2023-01-20,549
2023-01-21,564
2023-01-22,553
2023-01-23,565
2023-01-24,627
2023-01-25,568
2023-01-26,677
2023-01-27,614
2023-01-28,605
2023-01-29,575
2023-01-30,623
2023-01-31,586
2023-02-01,608
2023-02-02,682
2023-02-03,604
2023-02-04,642
2023-02-05,588
2023-02-06,609
2023-02-07,664
2023-02-08,593
2023-02-09,667
2023-02-10,635
2023-02-11,598
2023-02-12,635
2023-02-13,646
2023-02-14,637
2023-02-15,572
2023-02-16,598
2023-02-17,613
2023-02-18,620
2023-02-19,641
2023-02-20,629
2023-02-21,584
2023-02-22,637
2023-02-23,645
2023-02-24,644
2023-02-25,660
2023-02-26,654
2023-02-27,644
2023-02-28,628
2023-03-01,582
2023-03-02,645
2023-03-03,639
2023-03-04,642
2023-03-05,596
2023-03-06,603
2023-03-07,668
2023-03-08,636
2023-03-09,658
2023-03-10,639
2023-03-11,640
2023-03-12,668
2023-03-13,625
2023-03-14,644
2023-03-15,628
2023-03-16,629
2023-03-17,633
2023-03-18,650
2023-03-19,629
2023-03-20,682
2023-03-21,618
2023-03-22,640
2023-03-23,633
2023-03-24,690
2023-03-25,653
2023-03-26,678
2023-03-27,603
2023-03-28,656
2023-03-29,675
2023-03-30,652
2023-03-31,681
2023-04-01,634
2023-04-02,692
2023-04-03,719
2023-04-04,640
2023-04-05,638
2023-04-06,695
2023-04-07,699
2023-04-08,636
2023-04-09,640
2023-04-10,644
2023-04-11,612
2023-04-12,625
2023-04-13,623
2023-04-14,630
2023-04-15,653
2023-04-16,661
2023-04-17,700
2023-04-18,624
2023-04-19,684
2023-04-20,648
2023-04-21,653
2023-04-22,675
2023-04-23,621
2023-04-24,666
2023-04-25,659
2023-04-26,669
2023-04-27,663
2023-04-28,728
2023-04-29,635
2023-04-30,639
2023-05-01,636
2023-05-02,638
2023-05-03,635
2023-05-04,690
2023-05-05,697
2023-05-06,637
2023-05-07,629
2023-05-08,668
2023-05-09,637
2023-05-10,672
2023-05-11,659
2023-05-12,608
2023-05-13,699
2023-05-14,707
2023-05-15,634
2023-05-16,641
2023-05-17,661
2023-05-18,662
2023-05-19,671
2023-05-20,712
2023-05-21,646
2023-05-22,627
2023-05-23,609
2023-05-24,628
2023-05-25,649
2023-05-26,703
2023-05-27,634
2023-05-28,655
2023-05-29,648
2023-05-30,684
2023-05-31,723
2023-06-01,631
2023-06-02,632
2023-06-03,678
2023-06-04,667
2023-06-05,701
2023-06-06,663
2023-06-07,634
2023-06-08,662
2023-06-09,677
2023-06-10,668
2023-06-11,658
2023-06-12,675
2023-06-13,677
2023-06-14,683
2023-06-15,661
2023-06-16,636
2023-06-17,645
2023-06-18,676
2023-06-19,615
2023-06-20,650
2023-06-21,627
2023-06-22,639
2023-06-23,676
2023-06-24,643
2023-06-25,638
2023-06-26,595
2023-06-27,658
2023-06-28,654
2023-06-29,700
2023-06-30,625
2023-07-01,640
2023-07-02,641
2023-07-03,680
2023-07-04,629
2023-07-05,640
2023-07-06,649
2023-07-07,636
2023-07-08,617
2023-07-09,636
2023-07-10,661
2023-07-11,598
2023-07-12,632
2023-07-13,607
2023-07-14,663
2023-07-15,581
2023-07-16,610
2023-07-17,637
2023-07-18,672
2023-07-19,623
2023-07-20,608
2023-07-21,680
2023-07-22,580
2023-07-23,557
2023-07-24,636
2023-07-25,607
2023-07-26,591
2023-07-27,643
2023-07-28,628
2023-07-29,604
2023-07-30,582
2023-07-31,646
2023-08-01,639
2023-08-02,616
2023-08-03,674
2023-08-04,586
2023-08-05,572
2023-08-06,597
2023-08-07,616
2023-08-08,624
2023-08-09,609
2023-08-10,627
2023-08-11,579
2023-08-12,659
2023-08-13,613
2023-08-14,649
2023-08-15,625
2023-08-16,628
2023-08-17,632
2023-08-18,628
2023-08-19,633
2023-08-20,654
2023-08-21,620
2023-08-22,635
2023-08-23,611
2023-08-24,656
2023-08-25,593
2023-08-26,667
2023-08-27,611
2023-08-28,570
2023-08-29,616
2023-08-30,592
2023-08-31,638
2023-09-01,593
2023-09-02,599
2023-09-03,555
2023-09-04,599
2023-09-05,539
2023-09-06,565
2023-09-07,635
2023-09-08,636
2023-09-09,625
2023-09-10,583
2023-09-11,611
2023-09-12,612
2023-09-13,578
2023-09-14,658
2023-09-15,639
2023-09-16,606
2023-09-17,614
2023-09-18,619
2023-09-19,552
2023-09-20,606
2023-09-21,593
2023-09-22,584
2023-09-23,606
2023-09-24,668
2023-09-25,634
2023-09-26,598
2023-09-27,633
2023-09-28,658
2023-09-29,644
2023-09-30,618
2023-10-01,597
2023-10-02,638
2023-10-03,629
2023-10-04,645
2023-10-05,637
2023-10-06,650
2023-10-07,603
2023-10-08,659
2023-10-09,626
2023-10-10,683
2023-10-11,600
2023-10-12,674
2023-10-13,628
2023-10-14,603
2023-10-15,609
2023-10-16,614
2023-10-17,637
2023-10-18,641
2023-10-19,608
2023-10-20,626
2023-10-21,691
2023-10-22,679
2023-10-23,641
2023-10-24,630
2023-10-25,633
2023-10-26,649
2023-10-27,600
2023-10-28,624
2023-10-29,583
2023-10-30,645
2023-10-31,654
2023-11-01,621
2023-11-02,683
2023-11-03,600
2023-11-04,594
2023-11-05,645
2023-11-06,671
2023-11-07,691
2023-11-08,627
2023-11-09,674
2023-11-10,642
2023-11-11,639
2023-11-12,671
2023-11-13,665
2023-11-14,599
2023-11-15,692
2023-11-16,690
2023-11-17,631
2023-11-18,662
2023-11-19,666
2023-11-20,660
2023-11-21,637
2023-11-22,634
2023-11-23,655
2023-11-24,692
2023-11-25,674
2023-11-26,648
2023-11-27,683
2023-11-28,575
2023-11-29,696
2023-11-30,611
2023-12-01,653
2023-12-02,632
2023-12-03,628
2023-12-04,702
2023-12-05,655
2023-12-06,680
2023-12-07,670
2023-12-08,686
2023-12-09,676
2023-12-10,636
2023-12-11,706
2023-12-12,662
2023-12-13,631
2023-12-14,666
2023-12-15,725
2023-12-16,707
2023-12-17,672
2023-12-18,673
2023-12-19,676
2023-12-20,749
2023-12-21,699
2023-12-22,702
2023-12-23,721
2023-12-24,698
2023-12-25,685
2023-12-26,688
2023-12-27,693
2023-12-28,695
2023-12-29,719
2023-12-30,700
2023-12-31,722
